flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp
19193,s7,C4,10.0.7.5,10.0.9.1,41606,8080,6,5,1.1363879567877115,0.9469899639897595,5.279887,2499,6,1,8,227.18179752892752,1,7
19193,cs4,C4,10.0.7.5,10.0.9.1,41606,8080,6,5,1.1442662249799038,0.9535551874832533,5.243535,2499,6,1,8,227.18179752892752,1,7
1028,cs4,C4,10.0.6.3,10.0.9.1,59934,5028,8,11,1.4327276178843806,1.9700004745910233,5.583755,1488,6,1,8,78.31578535180077,1,7
35406,cs4,C4,10.0.6.4,10.0.9.1,56622,5029,90,56,17.95774900813366,11.173710493949834,5.011764,138516,6,1,8,948.73971952918,1,7
42153,s7,C4,10.0.7.2,10.0.9.1,38338,8080,4,1,0.09640538541692123,0.024101346354230307,41.491458,385,6,1,8,76.99998460000307,1,7
42153,cs4,C4,10.0.7.2,10.0.9.1,38338,8080,4,1,0.09620396471931243,0.024050991179828108,41.578328,385,6,1,8,76.99998460000307,1,7
1028,cs4,C4,10.0.6.3,10.0.9.1,59934,5028,0,1,0.0,0.0,0.0,67,6,1,8,66.999933000067,1,7
19193,cs4,C4,10.0.7.5,10.0.9.1,41606,8080,1,0,0.0,0.0,0.0,66,6,1,8,65.999934000066,1,7
35406,cs4,C4,10.0.6.4,10.0.9.1,56622,5029,1,0,0.0,0.0,0.0,1514,6,1,8,1513.998486001514,1,7
42153,cs4,C4,10.0.7.2,10.0.9.1,38338,8080,1,0,0.0,0.0,0.0,97,6,1,8,96.999903000097,1,7
19193,s7,C4,10.0.7.5,10.0.9.1,41606,8080,1,0,0.0,0.0,0.0,66,6,1,8,65.999934000066,1,7
42153,s7,C4,10.0.7.2,10.0.9.1,38338,8080,1,0,0.0,0.0,0.0,97,6,1,8,96.999903000097,1,7
4532,cs4,C4,10.0.8.2,10.0.9.1,0,0,1,2,0.18337153879344095,0.3667430775868819,5.453409,294,1,1,8,97.99996733334422,1,7
4532,s8,C4,10.0.8.2,10.0.9.1,0,0,1,2,0.1791899860034702,0.3583799720069404,5.580669,294,1,1,8,97.99996733334422,1,7
37381,cs4,C4,10.0.6.3,10.0.9.1,49570,5028,33,14,6.563486014603558,2.784509218316661,5.027816,43723,6,1,8,930.2765759515622,1,7
3668,s8,C4,10.0.8.4,10.0.9.1,0,0,1,1,0.14746335019625897,0.14746335019625897,6.781346,196,1,1,8,97.9999510000245,1,7
3668,cs4,C4,10.0.8.4,10.0.9.1,0,0,1,1,0.14684177842427318,0.14684177842427318,6.810051,196,1,1,8,97.9999510000245,1,7
37381,cs4,C4,10.0.6.3,10.0.9.1,49570,5028,1,0,0.0,0.0,0.0,1514,6,1,8,1513.998486001514,1,7
54501,s8,C4,10.0.8.3,10.0.9.1,0,0,1,1,0.12557953385128193,0.12557953385128193,7.963081,196,1,1,8,97.9999510000245,1,7
