flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp
47718,cs1,C1,10.0.2.4,10.0.9.2,34366,5002,16,0,3.1541493919489945,0.0,5.072683,848,17,1,7,52.9999966875002,2,8
58741,s2,C1,10.0.2.4,10.0.9.2,0,0,0,10,0.0,0.9815163780239661,10.188317,810,1,1,7,80.99999190000082,2,8
7031,cs1,C1,10.0.1.4,10.0.9.2,57076,5001,2,0,0.24850854490418942,0.0,8.048013,1388,17,1,7,693.9996530001735,1,8
35254,cs1,C1,10.0.4.4,10.0.9.2,38896,5019,60,0,11.901507881376878,0.0,5.041378,89400,17,1,7,1489.9999751666671,1,8
61370,cs1,C1,10.0.4.2,10.0.9.2,40906,5017,49,0,9.679951181438042,0.0,5.062009,73010,17,1,7,1489.9999695918375,1,8
55922,cs1,C1,10.0.4.2,10.0.9.2,60126,5017,1,1,0.18545598526737653,0.18545598526737653,5.392115,134,6,1,7,66.99996650001674,1,8
40085,s1,C1,10.0.1.1,10.0.9.2,43053,5001,3,0,0.4334767756147929,0.0,6.920786,722,17,1,7,240.66658644447116,2,8
40085,cs1,C1,10.0.1.1,10.0.9.2,43053,5001,3,0,0.4374048188888897,0.0,6.858635,722,17,1,7,240.66658644447116,2,8
21162,s1,C1,10.0.1.5,10.0.9.2,59958,5002,23,0,0.5311020152065591,0.0,43.306181,1219,17,1,7,52.99999769565227,1,8
21162,cs1,C1,10.0.1.5,10.0.9.2,59958,5002,23,0,0.5308510430819088,0.0,43.326655,1219,17,1,7,52.99999769565227,1,8
55922,cs1,C1,10.0.4.2,10.0.9.2,60126,5017,1,0,0.0,0.0,0.0,78,6,1,7,77.999922000078,1,8
52080,s1,C1,10.0.1.2,10.0.9.2,52801,5001,2,0,0.11214706966716151,0.0,17.833725,684,17,1,7,341.99982900008547,2,8
52080,cs1,C1,10.0.1.2,10.0.9.2,52801,5001,2,0,0.11189281921119142,0.0,17.874248,684,17,1,7,341.99982900008547,2,8
26465,s1,C1,10.0.1.3,10.0.9.2,42793,5001,4,0,0.6214662844441862,0.0,6.436391,1528,17,1,7,381.9999045000239,1,8
26465,cs1,C1,10.0.1.3,10.0.9.2,42793,5001,4,0,0.6304282830301472,0.0,6.344893,1528,17,1,7,381.9999045000239,1,8
54466,cs1,C1,10.0.3.3,10.0.9.1,52276,8080,3,1,0.13347918752464358,0.04449306250821453,22.475414,878,6,1,2,219.4999451250137,1,2
25643,cs1,C1,10.0.1.5,10.0.9.2,0,0,0,9,0.0,0.20276786699761687,44.385731,729,1,1,7,80.999991000001,1,8
25643,s1,C1,10.0.1.5,10.0.9.2,0,0,0,9,0.0,0.20245462738731965,44.454405,729,1,1,7,80.999991000001,1,8
53213,cs1,C1,10.0.3.2,10.0.9.1,58542,8080,2,1,0.2646464264197586,0.1323232132098793,7.557253,241,6,1,2,80.33330655556448,1,2
35254,cs1,C1,10.0.4.4,10.0.9.2,38896,5019,89,0,17.18355043816123,0.0,5.179372,132610,17,1,7,1489.9999832584272,1,8
11250,s2,C1,10.0.2.3,10.0.9.2,37496,5002,11,0,0.8256139058600499,0.0,13.323419,583,17,1,7,52.999995181818626,1,8
61370,cs1,C1,10.0.4.2,10.0.9.2,40906,5017,89,0,17.523103424309742,0.0,5.079009,132610,17,1,7,1489.9999832584272,1,8
11250,cs1,C1,10.0.2.3,10.0.9.2,37496,5002,11,0,0.8259303692644578,0.0,13.318314,583,17,1,7,52.999995181818626,1,8
48794,cs1,C1,10.0.1.2,10.0.9.2,0,0,0,2,0.0,0.09753512642234866,20.505433,1180,1,1,7,589.9997050001475,2,8
47718,s2,C1,10.0.2.4,10.0.9.2,34366,5002,5,0,0.6828576774371532,0.0,7.32217,265,17,1,7,52.99998940000212,1,8
48794,s1,C1,10.0.1.2,10.0.9.2,0,0,0,2,0.0,0.09737818962260109,20.53848,1180,1,1,7,589.9997050001475,2,8
47718,cs1,C1,10.0.2.4,10.0.9.2,34366,5002,3,0,0.416099499931621,0.0,7.209814,159,17,1,7,52.99998233333922,1,8
7031,s1,C1,10.0.1.4,10.0.9.2,57076,5001,2,0,0.39834106878493825,0.0,5.020823,428,17,1,7,213.99989300005348,1,6
7031,cs1,C1,10.0.1.4,10.0.9.2,57076,5001,2,0,0.3968855596364211,0.0,5.039236,428,17,1,7,213.99989300005348,1,6
31691,cs1,C1,10.0.1.3,10.0.9.2,0,0,0,3,0.0,0.4561924475211415,6.576172,662,1,1,7,220.66659311113563,1,6
31691,s1,C1,10.0.1.3,10.0.9.2,0,0,0,3,0.0,0.46257441473157657,6.485443,662,1,1,7,220.66659311113563,1,6
45418,cs1,C1,10.0.1.1,10.0.9.2,0,0,0,4,0.0,0.685825546212897,5.832387,1440,1,1,7,359.9999100000225,2,6
45418,s1,C1,10.0.1.1,10.0.9.2,0,0,0,4,0.0,0.699477769896995,5.718552,1440,1,1,7,359.9999100000225,2,6
16324,cs1,C1,10.0.2.3,10.0.9.2,0,0,0,7,0.0,0.6244044185354274,11.210683,567,1,1,7,80.99998842857308,1,6
