flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp
16531,s4,C2,10.0.4.2,10.0.9.2,35447,5017,1,0,0.0,0.0,0.0,46,17,1,3,45.999954000046,1,3
19199,s4,C2,10.0.4.3,10.0.9.2,52083,5018,1,0,0.0,0.0,0.0,46,17,1,3,45.999954000046,1,3
16531,cs2,C2,10.0.4.2,10.0.9.2,35447,5017,1,0,0.0,0.0,0.0,46,17,1,3,45.999954000046,1,3
19199,cs2,C2,10.0.4.3,10.0.9.2,52083,5018,1,0,0.0,0.0,0.0,46,17,1,3,45.999954000046,1,3
27239,s4,C2,10.0.4.4,10.0.9.2,44750,5019,5,0,0.4778171021252827,0.0,10.464255,335,6,1,3,66.99998660000267,1,3
27239,cs2,C2,10.0.4.4,10.0.9.2,44750,5019,5,0,0.7430473799703553,0.0,6.729046,335,6,1,3,66.99998660000267,1,3
34564,cs2,C2,10.0.3.1,10.0.9.1,42472,8080,11,9,1.9118690918899903,1.5642565297281739,5.753532,5896,6,1,2,294.7999852600007,1,2
34564,s3,C2,10.0.3.1,10.0.9.1,42472,8080,11,9,1.8893932041961705,1.545867167069594,5.821975,5896,6,1,2,294.7999852600007,1,2
34564,s3,C2,10.0.3.1,10.0.9.1,42472,8080,1,0,0.0,0.0,0.0,66,6,1,2,65.999934000066,1,2
34564,cs2,C2,10.0.3.1,10.0.9.1,42472,8080,1,0,0.0,0.0,0.0,66,6,1,2,65.999934000066,1,2
27239,cs2,C2,10.0.4.4,10.0.9.2,44750,5019,0,1,0.0,0.0,0.0,67,6,1,3,66.999933000067,1,3
40055,cs2,C2,10.0.3.3,10.0.9.1,52018,8080,13,12,1.9853147792940833,1.832598257809923,6.54808,5258,6,1,2,210.31999158720032,1,2
27239,s4,C2,10.0.4.4,10.0.9.2,44750,5019,0,1,0.0,0.0,0.0,67,6,1,3,66.999933000067,1,3
40055,s3,C2,10.0.3.3,10.0.9.1,52018,8080,13,12,1.9507814830621146,1.8007213689804136,6.663996,5258,6,1,5,210.31999158720032,1,5
40055,s3,C2,10.0.3.3,10.0.9.1,52018,8080,1,0,0.0,0.0,0.0,78,6,1,5,77.999922000078,1,5
40055,cs2,C2,10.0.3.3,10.0.9.1,52018,8080,1,0,0.0,0.0,0.0,78,6,1,5,77.999922000078,1,5
16531,s4,C2,10.0.4.2,10.0.9.2,35447,5017,144,1,28.75049165337289,0.19965619203731175,5.00861,213162,17,1,3,1470.082748482188,1,4
16531,cs2,C2,10.0.4.2,10.0.9.2,35447,5017,141,1,28.178488541847155,0.1998474364670011,5.003817,208692,17,1,3,1469.661961481254,1,4
19199,s4,C2,10.0.4.3,10.0.9.2,52083,5018,71,1,14.164240957279254,0.19949635151097542,5.012623,104392,17,1,3,1449.8888687515434,1,4
19199,cs2,C2,10.0.4.3,10.0.9.2,52083,5018,72,1,14.394363167383652,0.1999217106581063,5.001958,105882,17,1,3,1450.4383362953654,1,4
24643,s3,C2,10.0.3.5,10.0.9.1,48284,8080,2,0,0.18600590178125762,0.0,10.752347,175,6,1,5,87.49995625002187,1,5
24643,cs2,C2,10.0.3.5,10.0.9.1,48284,8080,2,0,0.1857468803114901,0.0,10.767341,175,6,1,5,87.49995625002187,1,5
16531,s4,C2,10.0.4.2,10.0.9.2,35447,5017,1,0,0.0,0.0,0.0,1490,17,1,3,1489.99851000149,1,4
19199,s4,C2,10.0.4.3,10.0.9.2,52083,5018,1,0,0.0,0.0,0.0,1490,17,1,3,1489.99851000149,1,4
16531,cs2,C2,10.0.4.2,10.0.9.2,35447,5017,1,0,0.0,0.0,0.0,1490,17,1,3,1489.99851000149,1,4
19199,cs2,C2,10.0.4.3,10.0.9.2,52083,5018,1,0,0.0,0.0,0.0,1490,17,1,3,1489.99851000149,1,4
34564,cs2,C2,10.0.3.1,10.0.9.1,42472,8080,5,3,0.9202610375648715,0.552156622538923,5.433241,1718,6,1,5,214.7499731562534,1,5
34564,s3,C2,10.0.3.1,10.0.9.1,42472,8080,5,3,0.9095956519872482,0.5457573911923489,5.496948,1718,6,1,5,214.7499731562534,1,5
27239,s4,C2,10.0.4.4,10.0.9.2,44750,5019,14,9,2.787072443179556,1.791689427758286,5.023192,2797,6,1,3,121.60869036483955,1,4
41098,s3,C2,10.0.3.2,10.0.9.1,42550,8080,2,0,0.10258214650064089,0.0,19.49657,194,6,1,5,96.99995150002424,1,5
41098,cs2,C2,10.0.3.2,10.0.9.1,42550,8080,2,0,0.10284047976112214,0.0,19.447595,194,6,1,5,96.99995150002424,1,5
27239,cs2,C2,10.0.4.4,10.0.9.2,44750,5019,14,10,2.6497902785629885,1.8927073418307059,5.283437,2875,6,1,3,119.79166167534743,1,4
52854,s4,C2,10.0.4.3,10.0.9.2,33776,5018,2,0,0.14769236949588385,0.0,13.541661,285,6,1,3,142.49992875003562,1,4
52854,cs2,C2,10.0.4.3,10.0.9.2,33776,5018,2,0,0.1464503224396749,0.0,13.656508,285,6,1,3,142.49992875003562,1,4
27239,s4,C2,10.0.4.4,10.0.9.2,44750,5019,0,1,0.0,0.0,0.0,78,6,1,3,77.999922000078,1,4
12120,s4,C2,10.0.4.1,10.0.9.1,37938,8080,2,0,0.14404003045294325,0.0,13.885029,194,6,1,5,96.99995150002424,1,5
