flow_id,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,N_IN_Conn_P_DstIP,TnP_PDstIP,Srate,Drate,Dur,Bytes,proto_number
7898,10.0.2.2,10.0.5.5,32835,5000,6,0,3,13,1.1761029983961875,0.0,5.101594,6396,17
8324,10.0.3.3,10.0.5.5,42575,5001,4,0,3,13,0.6627318070177997,0.0,6.035624,220,17
4875,10.0.4.4,10.0.5.5,51135,80,3,0,3,13,0.49772077068411386,0.0,6.027476,159,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.39579162679066027,0.0,5.053164,152,1
7898,10.0.2.2,10.0.5.5,32835,5000,6,0,2,10,1.1720521813258489,0.0,5.119226,6396,17
8324,10.0.3.3,10.0.5.5,42575,5001,4,0,2,10,0.6608634048211307,0.0,6.052688,220,17
4875,10.0.4.4,10.0.5.5,51135,80,3,0,2,9,0.4928411536819998,0.0,6.087154,159,17
7898,10.0.2.2,10.0.5.5,32835,5000,6,0,2,9,1.1728045392226885,0.0,5.115942,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.39322087216389445,0.0,5.0862,152,1
8324,10.0.3.3,10.0.5.5,42575,5001,4,0,2,10,0.661397314263926,0.0,6.047802,220,17
7898,10.0.2.2,10.0.5.5,32835,5000,6,0,2,10,1.1762088241146333,0.0,5.101135,6396,17
4875,10.0.4.4,10.0.5.5,51135,80,3,0,2,9,0.4969412438207427,0.0,6.036931,159,17
7898,10.0.2.2,10.0.5.5,32835,5000,6,0,2,9,1.0912122495122283,0.0,5.498472,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.31383477854248854,0.0,6.37278,152,1
31866,10.0.1.1,10.0.5.5,38572,9999,23,0,2,27,4.581930698098977,0.0,5.019718,24518,17
8324,10.0.3.3,10.0.5.5,42575,5001,4,0,2,27,0.41717131359007514,0.0,9.588387,220,17
4875,10.0.4.4,10.0.5.5,51135,80,2,0,1,2,0.2377597138514292,0.0,8.411854,106,17
7898,10.0.2.2,10.0.5.5,32835,5000,3,0,2,18,0.5567467874782451,0.0,5.388446,3198,17
31866,10.0.1.1,10.0.5.5,38572,9999,15,0,2,18,2.7395263797213683,0.0,5.475399,15990,17
31866,10.0.1.1,10.0.5.5,38572,9999,13,0,2,15,2.3868035467900706,0.0,5.446615,13858,17
8324,10.0.3.3,10.0.5.5,42575,5001,2,0,2,15,0.2838798943910017,0.0,7.045233,110,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.22333604872745913,0.0,8.955115,152,1
7898,10.0.2.2,10.0.5.5,32835,5000,3,0,3,24,0.3419968351612874,0.0,8.772011,3198,17
31866,10.0.1.1,10.0.5.5,38572,9999,19,0,3,24,3.6540400990514113,0.0,5.199724,20254,17
4875,10.0.4.4,10.0.5.5,51135,80,2,0,3,24,0.3263535021973381,0.0,6.128324,106,17
8324,10.0.3.3,10.0.5.5,42575,5001,2,0,3,21,0.3906015791631244,0.0,5.120307,110,17
7898,10.0.2.2,10.0.5.5,32835,5000,3,0,3,21,0.567952808422513,0.0,5.282129,3198,17
31866,10.0.1.1,10.0.5.5,38572,9999,16,0,3,21,3.1273106672371402,0.0,5.116217,17056,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.31153686431292255,0.0,6.419786,152,1
31866,10.0.1.1,10.0.5.5,38572,9999,15,0,2,18,2.9877781945175066,0.0,5.020453,15990,17
7898,10.0.2.2,10.0.5.5,32835,5000,3,0,2,18,0.5526589064759282,0.0,5.428303,3198,17
31866,10.0.1.1,10.0.5.5,38572,9999,22,0,2,25,4.323100685014954,0.0,5.08894,23452,17
8324,10.0.3.3,10.0.5.5,42575,5001,3,0,2,25,0.49812944092774286,0.0,6.022531,165,17
4875,10.0.4.4,10.0.5.5,51135,80,3,0,1,3,0.37481638682250534,0.0,8.003919,159,17
7898,10.0.2.2,10.0.5.5,32835,5000,6,0,2,48,0.9978896297480212,0.0,6.012689,6396,17
31866,10.0.1.1,10.0.5.5,38572,9999,32,0,2,48,6.3535126188702495,0.0,5.036584,34112,17
31866,10.0.1.1,10.0.5.5,38572,9999,10,0,2,48,1.769427025909897,0.0,5.651547,10660,17
8324,10.0.3.3,10.0.5.5,42575,5001,3,0,4,59,0.2431215050777142,0.0,12.339509,165,17
49617,10.0.5.5,10.0.7.7,0,0,3,0,1,3,0.17858117612729218,0.0,16.799083,228,1
7898,10.0.2.2,10.0.5.5,32835,5000,3,0,4,59,0.558992427329587,0.0,5.366799,3198,17
31866,10.0.1.1,10.0.5.5,38572,9999,50,0,4,59,9.811493733202722,0.0,5.096064,53300,17
4875,10.0.4.4,10.0.5.5,51135,80,3,0,4,59,0.5258739630861019,0.0,5.704789,159,17
7898,10.0.2.2,10.0.5.5,32835,5000,11,0,1,11,1.9032663164425947,0.0,5.779538,11726,17
31866,10.0.1.1,10.0.5.5,38572,9999,77,0,2,84,15.280727807173886,0.0,5.039027,82082,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.3058006250258975,0.0,6.540209,152,1
8324,10.0.3.3,10.0.5.5,42575,5001,7,0,2,84,1.0208642782817687,0.0,6.856935,385,17
31866,10.0.1.1,10.0.5.5,38572,9999,30,0,2,34,5.918845525234406,0.0,5.068556,31980,17
4875,10.0.4.4,10.0.5.5,51135,80,4,0,2,34,0.37564988604191146,0.0,10.648213,212,17
7898,10.0.2.2,10.0.5.5,32835,5000,4,0,3,27,0.5734409395256354,0.0,6.975435,4264,17
31866,10.0.1.1,10.0.5.5,38572,9999,21,0,3,27,4.047464812593706,0.0,5.188433,22386,17
8324,10.0.3.3,10.0.5.5,42575,5001,2,0,3,27,0.3008840877149328,0.0,6.647078,110,17
31866,10.0.1.1,10.0.5.5,38572,9999,26,0,2,30,4.961032993922353,0.0,5.240844,27716,17
