flow_id,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,N_IN_Conn_P_DstIP,TnP_PDstIP,Srate,Drate,Dur,Bytes,proto_number
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,1,4,0.663091498338127,0.0,6.03235,220,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,3,13,1.181973020283839,0.0,5.076258,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.3903686680738156,0.0,5.123362,152,1
65365,10.0.4.4,10.0.5.5,41764,80,3,0,3,13,0.4942631697657242,0.0,6.069641,159,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,3,13,0.6578442083478128,0.0,6.080467,220,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,1,6,1.1744928344192171,0.0,5.108588,6396,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,3,13,0.6600039270233657,0.0,6.06057,220,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,3,13,1.1775061009534855,0.0,5.095515,6396,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,3,13,0.496387211146077,0.0,6.043669,159,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.39167740352349073,0.0,5.106243,152,1
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,1,6,1.1671528182363737,0.0,5.140715,6396,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,2,7,0.6549385724926127,0.0,6.107443,220,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,2,7,0.48827401807688064,0.0,6.144091,159,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.38826130762525796,0.0,5.15117,152,1
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,2,10,1.1703119934743402,0.0,5.126838,6396,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,2,10,0.6487576048582862,0.0,6.165631,220,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,2,9,0.5088698560254517,0.0,5.895417,159,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,2,9,1.1293817895845022,0.0,5.312641,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.3905507800958919,0.0,5.120973,152,1
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,2,11,0.6686829687116552,0.0,5.981908,220,17
11915,10.0.2.2,10.0.5.5,33479,5000,7,0,2,11,1.1692147754005229,0.0,5.986924,7462,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,3,13,0.5093792856838442,0.0,5.889521,159,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.39604046662279857,0.0,5.049989,152,1
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,3,13,0.6642631412007554,0.0,6.02171,220,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,3,13,1.1792418064805232,0.0,5.088015,6396,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,1,3,0.4956401018441281,0.0,6.052779,159,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,2,10,1.1818577740536127,0.0,5.076753,6396,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,2,10,0.5880070954816212,0.0,6.802639,220,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.3967965031117774,0.0,5.040367,152,1
11915,10.0.2.2,10.0.5.5,33479,5000,3,0,1,3,0.48825613786790917,0.0,6.144316,3198,17
