flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,Srate,Drate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.179002438177042,0.0,5.089048,270,17,1,1,44.99999250000125
2873,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48920,80,1,1,0.005248106601220678,0.005248106601220678,190.54491,148,6,1,1,73.9999630000185
2873,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48920,80,1,0,0.0,0.0,0.0,54,6,1,1,53.999946000054
2870,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48936,80,1,1,0.005288701683657652,0.005288701683657652,189.082323,148,6,1,1,73.9999630000185
2870,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48936,80,1,0,0.0,0.0,0.0,54,6,1,1,53.999946000054
54179,s1,C1_Sanayi,10.0.1.18,10.0.5.11,47426,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1784668185972278,0.0,5.091361,270,17,1,2,44.99999250000125
2873,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48920,80,3,3,0.5682437007818086,0.5682437007818086,5.279425,384,6,1,1,63.99998933333511
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.662246173458829,0.0,6.04005,208,17,1,2,51.99998700000325
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,1,1,0.08302064299986127,0.08302064299986127,12.045197,196,1,1,3,97.9999510000245
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,5,0,0.9994209355099656,0.0,5.002897,225,17,1,4,44.9999910000018
2870,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48936,80,3,3,0.3825825469667899,0.3825825469667899,7.841445,384,6,1,3,63.99998933333511
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,311,0,61.89912075383974,0.0,5.024304,463390,17,1,4,1489.9999952090031
2873,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48920,80,1,1,0.1491551331217021,0.1491551331217021,6.704429,128,6,1,3,63.999968000016
44270,s2,C1_Sanayi,10.0.2.19,10.0.5.12,36204,5002,1,0,0.0,0.0,0.0,74,6,1,4,73.99992600007401
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6037607350545445,0.0,6.625141,208,17,1,4,51.99998700000325
60055,s1,C1_Sanayi,10.0.1.18,10.0.5.11,54230,80,1,1,0.005268349353918348,0.005268349353918348,189.812773,148,6,1,3,73.9999630000185
25841,s2,C1_Sanayi,10.0.2.15,10.0.5.11,59582,80,2,0,0.37521312105275795,0.0,5.330304,148,6,1,3,73.9999630000185
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,40,0,7.660020705035966,0.0,5.221918,59600,17,1,3,1489.999962750001
44270,s2,C1_Sanayi,10.0.2.19,10.0.5.12,36204,5002,4,0,0.7082343575818613,0.0,5.647848,296,6,1,3,73.99998150000462
60055,s1,C1_Sanayi,10.0.1.18,10.0.5.11,54230,80,1,0,0.0,0.0,0.0,54,6,1,2,53.999946000054
44270,s2,C1_Sanayi,10.0.2.19,10.0.5.12,36204,5002,4,0,0.7490603038488217,0.0,5.340024,296,6,1,3,73.99998150000462
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,5,0,0.6988299908760756,0.0,7.154816,7450,17,1,3,1489.9997020000596
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,11,0,2.0096573168882466,0.0,5.47357,16390,17,1,3,1489.999864545467
20973,s1,C1_Sanayi,10.0.1.18,10.0.5.11,50404,80,2,1,0.010725499089515063,0.005362749544757532,186.471509,222,6,1,2,73.99997533334155
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1823214566515632,0.0,5.074762,270,17,1,3,44.99999250000125
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,8,0,1.5495707688970155,0.0,5.16272,11920,17,1,3,1489.9998137500233
25841,s2,C1_Sanayi,10.0.2.15,10.0.5.11,59582,80,2,0,0.1256704518606767,0.0,15.91464,148,6,1,2,73.9999630000185
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,6,0,1.189726709860356,0.0,5.043175,8940,17,1,3,1489.999751666708
20973,s1,C1_Sanayi,10.0.1.18,10.0.5.11,50404,80,1,0,0.0,0.0,0.0,54,6,1,2,53.999946000054
44270,s2,C1_Sanayi,10.0.2.19,10.0.5.12,36204,5002,2,0,0.12151050683125993,0.0,16.459482,148,6,1,3,73.9999630000185
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,15,0,2.769235711251423,0.0,5.416657,22350,17,1,3,1489.9999006666733
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,14,0,2.7237597846206403,0.0,5.139954,20860,17,1,3,1489.9998935714364
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,13,0,2.496100323264193,0.0,5.208124,19370,17,1,3,1489.9998853846243
60055,s1,C1_Sanayi,10.0.1.18,10.0.5.11,54230,80,3,3,0.48067201793483433,0.48067201793483433,6.241262,384,6,1,1,63.99998933333511
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,10,0,1.9944904196647184,0.0,5.013812,14900,17,1,3,1489.999851000015
46572,s1,C1_Sanayi,10.0.1.18,10.0.5.11,37338,80,1,1,0.005403340307154501,0.005403340307154501,185.070705,148,6,1,1,73.9999630000185
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6604324049084657,0.0,6.056638,208,17,1,3,51.99998700000325
46572,s1,C1_Sanayi,10.0.1.18,10.0.5.11,37338,80,1,0,0.0,0.0,0.0,54,6,1,1,53.999946000054
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1852673637224034,0.0,5.062149,270,17,1,3,44.99999250000125
2873,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48920,80,1,1,0.08827092181941552,0.08827092181941552,11.328759,128,6,1,1,63.999968000016
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,17,0,3.2496124837113176,0.0,5.231393,25330,17,1,3,1489.9999123529462
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,12,0,2.377081605409604,0.0,5.048207,17880,17,1,3,1489.9998758333438
2870,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48936,80,2,2,0.13668382754902184,0.13668382754902184,14.632309,256,6,1,2,63.999984000004
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,17,0,3.289964505153536,0.0,5.167229,25330,17,1,2,1489.9999123529462
15268,s1,C1_Sanayi,10.0.1.18,10.0.5.11,47260,80,1,0,0.0,0.0,0.0,74,6,1,2,73.99992600007401
46572,s1,C1_Sanayi,10.0.1.18,10.0.5.11,37338,80,4,4,0.6287472352805163,0.6287472352805163,6.361857,512,6,1,2,63.99999200000101
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,41,0,8.029979635188234,0.0,5.105866,61090,17,1,2,1489.9999636585376
45995,s1,C1_Sanayi,10.0.1.18,10.0.5.11,47274,80,1,0,0.0,0.0,0.0,74,6,1,2,73.99992600007401
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1867858516137912,0.0,5.055672,270,17,1,2,44.99999250000125
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,2,1,0.13315623554006506,0.06657811777003253,15.01995,294,1,1,2,97.99996733334422
60055,s1,C1_Sanayi,10.0.1.18,10.0.5.11,54230,80,2,2,0.22912076852604663,0.22912076852604663,8.729021,256,6,1,2,63.999984000004
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,20,0,3.7200533381247616,0.0,5.376267,29800,17,1,2,1489.9999255000037
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6604669732664434,0.0,6.056321,208,17,1,2,51.99998700000325
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,17,0,2.867612776463174,0.0,5.928276,25330,17,1,2,1489.9999123529462
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,8,0,1.5363130637308748,0.0,5.207272,11920,17,1,2,1489.9998137500233
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,14,0,2.742620001379146,0.0,5.104608,20860,17,1,2,1489.9998935714364
46572,s1,C1_Sanayi,10.0.1.18,10.0.5.11,37338,80,1,1,0.18885919602640253,0.18885919602640253,5.29495,128,6,1,1,63.999968000016
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,16,0,3.0557525879359653,0.0,5.236026,23840,17,1,2,1489.9999068750058
43948,s1,C1_Sanayi,10.0.1.18,10.0.5.11,47280,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.181190486455584,0.0,5.079621,270,17,1,3,44.99999250000125
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,20,0,3.906782604347233,0.0,5.119302,29800,17,1,3,1489.9999255000037
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,31,0,6.025024843509698,0.0,5.145207,46190,17,1,3,1489.9999519354853
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,20,0,3.8242767766777246,0.0,5.229747,29800,17,1,3,1489.9999255000037
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6639487922854461,0.0,6.024561,208,17,1,3,51.99998700000325
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,20,0,3.995395705988419,0.0,5.005762,29800,17,1,3,1489.9999255000037
55324,s1,C1_Sanayi,10.0.1.18,10.0.5.11,52594,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401
21490,s2,C1_Sanayi,10.0.2.15,10.0.5.11,52890,80,1,0,0.0,0.0,0.0,74,6,1,3,73.99992600007401
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,13,0,2.442842649552236,0.0,5.321669,19370,17,1,2,1489.9998853846243
21490,s2,C1_Sanayi,10.0.2.15,10.0.5.11,52890,80,7,0,1.0049084033168294,0.0,6.965809,518,6,1,3,73.99998942857293
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1861033756304387,0.0,5.058581,270,17,1,2,44.99999250000125
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,39,0,7.629455724409974,0.0,5.111767,58110,17,1,2,1489.999961794873
49302,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51896,80,1,1,0.005303554539307292,0.005303554539307292,188.552789,148,6,1,3,73.9999630000185
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,29,0,5.743894784523729,0.0,5.048839,43210,17,1,2,1489.9999486206914
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,1,1,0.07696278972257377,0.07696278972257377,12.993292,196,1,1,3,97.9999510000245
21490,s2,C1_Sanayi,10.0.2.15,10.0.5.11,52890,80,2,0,0.2395722294100546,0.0,8.348213,148,6,1,3,73.9999630000185
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,14,0,2.671203642453287,0.0,5.241083,20860,17,1,3,1489.9998935714364
49302,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51896,80,1,0,0.0,0.0,0.0,54,6,1,1,53.999946000054
24622,s1,C1_Sanayi,10.0.1.18,10.0.5.11,52608,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6615685094712629,0.0,6.046237,208,17,1,3,51.99998700000325
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,14,0,2.6468620882758755,0.0,5.289282,20860,17,1,3,1489.9998935714364
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.177782545616009,0.0,5.094319,270,17,1,3,44.99999250000125
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,13,0,2.4563009883210447,0.0,5.292511,19370,17,1,3,1489.9998853846243
52046,s2,C1_Sanayi,10.0.2.19,10.0.5.12,44036,5002,1,0,0.0,0.0,0.0,74,6,1,4,73.99992600007401
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,7,0,1.2092307841136096,0.0,5.788804,10430,17,1,4,1489.9997871428875
52046,s2,C1_Sanayi,10.0.2.19,10.0.5.12,44036,5002,6,0,1.1701885115182629,0.0,5.127379,444,6,1,4,73.99998766666872
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.179138215044153,0.0,5.088462,270,17,1,4,44.99999250000125
61591,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51900,80,1,1,0.005179160551610224,0.005179160551610224,193.081483,148,6,1,1,73.9999630000185
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6482799350553161,0.0,6.170174,208,17,1,4,51.99998700000325
61591,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51900,80,1,0,0.0,0.0,0.0,54,6,1,1,53.999946000054
47968,s1,C1_Sanayi,10.0.1.18,10.0.5.11,56218,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,21,0,3.8239455470154105,0.0,5.49171,31290,17,1,1,1489.9999290476223
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1729840655979609,0.0,5.115159,270,17,1,3,44.99999250000125
49302,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51896,80,3,3,0.18354292916160647,0.18354292916160647,16.34495,384,6,1,1,63.99998933333511
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6609465051379503,0.0,6.051927,208,17,1,3,51.99998700000325
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,16,0,3.130492424501816,0.0,5.111017,23840,17,1,3,1489.9999068750058
61591,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51900,80,2,2,0.1896763164176517,0.1896763164176517,10.544279,256,6,1,1,63.999984000004
52046,s2,C1_Sanayi,10.0.2.19,10.0.5.12,44036,5002,3,0,0.24132768841055954,0.0,12.43123,222,6,1,3,73.99997533334155
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1617700961539021,0.0,5.164533,270,17,1,3,44.99999250000125
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,14,0,2.7349989216289963,0.0,5.118832,20860,17,1,3,1489.9998935714364
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,16,0,2.98936961481412,0.0,5.352299,23840,17,1,3,1489.9999068750058
