flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp,label
55896,cs5,C5,10.0.6.5,10.0.9.1,15828,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
65058,cs5,C5,10.0.6.5,10.0.9.1,15903,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
18242,cs5,C5,10.0.2.5,10.0.9.2,1000,9480,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
41514,cs5,C5,10.0.6.5,10.0.9.1,15926,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
5963,cs5,C5,10.0.2.5,10.0.9.2,1000,9493,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
54009,cs5,C5,10.0.9.1,10.0.10.1,50085,44140,0,1,0.0,0.0,0.0,46,17,12,1,45.999954000046,9,5,0
28212,cs5,C5,10.0.6.5,10.0.9.1,15955,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
3641,cs5,C5,10.0.6.5,10.0.9.1,15979,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
12860,cs5,C5,10.0.6.5,10.0.9.1,15994,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
16089,s9,C5,10.0.5.1,10.0.9.1,44172,8080,2,1,0.2530749235903537,0.1265374617951768,7.902798,812,6,1,12,270.6665764444745,1,77,0
34581,cs5,C5,10.0.2.5,10.0.9.2,1000,9664,2,0,0.208901763736701,0.0,9.573878,84,17,1,4,41.9999790000105,53,5,1
54466,cs5,C5,10.0.3.3,10.0.9.1,52276,8080,2,2,0.2875431422542059,0.2875431422542059,6.955478,1380,6,1,12,344.9999137500216,1,77,0
39871,s9,C5,10.0.9.1,10.0.9.3,47403,54373,0,1,0.0,0.0,0.0,46,17,12,1,45.999954000046,9,5,0
11250,s9,C5,10.0.2.3,10.0.9.2,37496,5002,7,0,0.4387472212414829,0.0,15.954517,371,17,1,4,52.99999242857251,2,5,0
6665,cs5,C5,10.0.6.5,10.0.9.1,16020,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
17936,cs5,C5,10.0.6.5,10.0.9.1,16109,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
46954,cs5,C5,10.0.2.5,10.0.9.2,1000,9579,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
61983,cs5,C5,10.0.6.5,10.0.9.1,16154,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
55072,cs5,C5,10.0.2.5,10.0.9.2,1000,9613,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
5654,cs5,C5,10.0.6.5,10.0.9.1,16177,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
59196,cs5,C5,10.0.2.5,10.0.9.2,1000,9634,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
5639,cs5,C5,10.0.6.5,10.0.9.1,16225,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
28162,cs5,C5,10.0.6.5,10.0.9.1,16243,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
59313,cs5,C5,10.0.2.5,10.0.9.2,1000,9742,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
17976,cs5,C5,10.0.6.5,10.0.9.1,16301,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
49698,cs5,C5,10.0.6.5,10.0.9.1,16350,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
10127,cs5,C5,10.0.2.5,10.0.9.2,1000,9818,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
12840,cs5,C5,10.0.6.5,10.0.9.1,16378,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
10192,cs5,C5,10.0.2.5,10.0.9.2,1000,9870,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
31794,s9,C5,10.0.5.4,10.0.9.1,45056,8080,2,3,0.2482303657227624,0.3723455485841436,8.057032,956,6,1,12,191.19996176000765,1,77,0
16324,s9,C5,10.0.2.3,10.0.9.2,0,0,0,7,0.0,0.4408403575996217,15.878764,567,1,1,4,80.99998842857308,2,5,0
16324,cs5,C5,10.0.2.3,10.0.9.2,0,0,0,7,0.0,0.4585474422354685,15.265596,567,1,1,4,80.99998842857308,2,5,0
60351,s9,C5,10.0.3.5,10.0.9.1,44442,8080,0,2,0.0,0.3015746569927548,6.631857,696,6,1,12,347.9998260000869,1,77,0
6027,cs5,C5,10.0.2.5,10.0.9.2,1000,10133,1,1,0.0025974692275482,0.0025974692275482,384.990124,88,17,1,4,43.999978000011,53,5,0
10072,s9,C5,10.0.2.5,10.0.9.2,1000,9518,1,1,0.0026002135092517,0.0026002135092517,384.583803,88,17,1,4,43.999978000011,53,5,0
13996,cs5,C5,10.0.9.1,10.0.10.1,13193,43198,0,1,0.0,0.0,0.0,46,17,12,1,45.999954000046,9,5,0
45066,cs5,C5,10.0.6.5,10.0.9.1,16412,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
18383,cs5,C5,10.0.2.5,10.0.9.2,1000,9892,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
4099,cs5,C5,10.0.6.5,10.0.9.1,16436,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
55236,cs5,C5,10.0.2.5,10.0.9.2,1000,9917,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
8220,cs5,C5,10.0.6.5,10.0.9.1,16464,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
47083,cs5,C5,10.0.2.5,10.0.9.2,1000,10007,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
32789,cs5,C5,10.0.6.5,10.0.9.1,16504,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
59343,cs5,C5,10.0.2.5,10.0.9.2,1000,10086,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
38945,cs5,C5,10.0.6.5,10.0.9.1,16530,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
19497,cs5,C5,10.0.6.5,10.0.9.1,16573,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
18332,cs5,C5,10.0.2.5,10.0.9.2,1000,10144,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
62521,cs5,C5,10.0.6.5,10.0.9.1,16623,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
10170,cs5,C5,10.0.2.5,10.0.9.2,1000,10198,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
