flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp
31150,s9,C5,10.0.3.5,10.0.9.1,46246,8080,3,1,0.24123236933126044,0.08041078977708682,12.436142,847,6,1,14,211.74994706251323,1,10
19714,s10,C5,10.0.9.1,10.0.10.3,43743,37126,0,1,0.0,0.0,0.0,46,17,14,1,45.999954000046,5,4
28345,cs5,C5,10.0.7.3,10.0.9.1,54994,8080,1,1,0.07265843480507596,0.07265843480507596,13.763027,715,6,1,14,357.4998212500893,1,10
9009,cs5,C5,10.0.6.5,10.0.9.1,0,0,0,11,0.0,2.059374770075487,5.341427,770,1,1,14,69.99999363636422,46,10
53908,s9,C5,10.0.5.2,10.0.9.1,55474,8080,1,1,0.06861309200919581,0.06861309200919581,14.574478,696,6,1,14,347.99982600008695,1,10
56603,s9,C5,10.0.2.5,10.0.9.1,1000,2710,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
7269,s9,C5,10.0.6.5,10.0.9.1,1000,3825,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
36525,s9,C5,10.0.4.2,10.0.9.2,56658,5017,0,1,0.0,0.0,0.0,66,6,1,6,65.999934000066,1,7
7243,s9,C5,10.0.6.5,10.0.9.1,1000,3929,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
35851,s9,C5,10.0.6.5,10.0.9.1,1000,4004,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
56362,s9,C5,10.0.6.5,10.0.9.1,1000,4057,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
60673,s9,C5,10.0.2.5,10.0.9.1,1000,2929,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
47682,s9,C5,10.0.6.5,10.0.9.1,1000,4103,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
7428,s9,C5,10.0.2.5,10.0.9.1,1000,2942,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
11631,s9,C5,10.0.2.5,10.0.9.1,1000,3045,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
31353,s9,C5,10.0.6.5,10.0.9.1,1000,4191,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
35995,s9,C5,10.0.2.5,10.0.9.1,1000,3095,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
47649,s9,C5,10.0.6.5,10.0.9.1,1000,4227,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
31877,s9,C5,10.0.2.5,10.0.9.1,1000,3132,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
55860,s9,C5,10.0.6.5,10.0.9.1,1000,4273,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
36025,s9,C5,10.0.2.5,10.0.9.1,1000,3183,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
28340,s9,C5,10.0.1.5,10.0.9.2,60311,5002,4,0,0.13827969003224683,0.0,28.92688,212,17,1,6,52.99998675000331,2,7
56543,cs5,C5,10.0.2.5,10.0.9.1,1000,3366,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
35387,cs5,C5,10.0.6.5,10.0.9.1,1000,4452,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
10813,cs5,C5,10.0.6.5,10.0.9.1,1000,4462,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
60586,cs5,C5,10.0.2.5,10.0.9.1,1000,3477,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
55872,cs5,C5,10.0.6.5,10.0.9.1,1000,4545,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
19019,cs5,C5,10.0.6.5,10.0.9.1,1000,4568,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
11409,cs5,C5,10.0.2.5,10.0.9.1,1000,3533,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
55892,cs5,C5,10.0.6.5,10.0.9.1,1000,4593,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
6893,cs5,C5,10.0.6.5,10.0.9.1,1000,4625,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
60431,cs5,C5,10.0.2.5,10.0.9.1,1000,3673,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
28801,cs5,C5,10.0.9.1,10.0.10.3,30050,53187,0,1,0.0,0.0,0.0,46,17,14,1,45.999954000046,5,4
56028,cs5,C5,10.0.6.5,10.0.9.1,1000,4689,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
7195,cs5,C5,10.0.2.5,10.0.9.1,1000,3690,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
19074,cs5,C5,10.0.6.5,10.0.9.1,1000,4740,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
19542,cs5,C5,10.0.2.5,10.0.9.1,1000,3719,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
55942,cs5,C5,10.0.6.5,10.0.9.1,1000,4745,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
37060,s9,C5,10.0.6.1,10.0.9.1,42042,5026,2,1,0.23009875838709976,0.11504937919354988,8.69192,523,6,1,14,174.33327522224158,1,10
8737,cs5,C5,10.0.7.5,10.0.9.1,49646,8080,1,1,0.1784762624786141,0.1784762624786141,5.602986,696,6,1,14,347.99982600008695,1,10
25643,s9,C5,10.0.1.5,10.0.9.2,0,0,0,4,0.0,0.136932410025479,29.211492,324,1,1,6,80.99997975000505,2,7
28801,s10,C5,10.0.9.1,10.0.10.3,30050,53187,0,1,0.0,0.0,0.0,46,17,14,1,45.999954000046,5,4
39741,s10,C5,10.0.9.1,10.0.10.4,45342,41359,0,1,0.0,0.0,0.0,46,17,14,1,45.999954000046,5,1
13114,cs5,C5,10.0.4.3,10.0.9.2,55732,5018,1,1,0.18140490845401294,0.18140490845401294,5.51253,169,6,1,6,84.49995775002112,1,7
47664,s9,C5,10.0.6.5,10.0.9.1,1000,4287,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
7417,s9,C5,10.0.2.5,10.0.9.1,1000,3218,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
19714,s9,C5,10.0.9.1,10.0.10.3,43743,37126,0,1,0.0,0.0,0.0,46,17,14,1,45.999954000046,5,4
47639,s9,C5,10.0.6.5,10.0.9.1,1000,4299,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
31947,s9,C5,10.0.2.5,10.0.9.1,1000,3284,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
47640,s9,C5,10.0.6.5,10.0.9.1,1000,4319,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
11475,s9,C5,10.0.2.5,10.0.9.1,1000,3317,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
55815,s9,C5,10.0.6.5,10.0.9.1,1000,4341,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
10778,s9,C5,10.0.6.5,10.0.9.1,1000,4378,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
56543,s9,C5,10.0.2.5,10.0.9.1,1000,3366,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
35387,s9,C5,10.0.6.5,10.0.9.1,1000,4452,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
10813,s9,C5,10.0.6.5,10.0.9.1,1000,4462,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
60586,s9,C5,10.0.2.5,10.0.9.1,1000,3477,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
55872,s9,C5,10.0.6.5,10.0.9.1,1000,4545,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
37060,s9,C5,10.0.6.1,10.0.9.1,42042,5026,0,1,0.0,0.0,0.0,54,6,1,14,53.999946000054,1,10
28489,s9,C5,10.0.6.1,10.0.9.1,58350,5026,1,4,0.1352757853909186,0.5411031415636745,7.392306,370,6,1,14,73.99998520000295,1,10
46801,cs5,C5,10.0.4.4,10.0.9.2,39636,5019,2,1,0.37484701556177386,0.18742350778088693,5.33551,235,6,1,6,78.33330722223093,1,7
31808,cs5,C5,10.0.2.5,10.0.9.1,1000,3760,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
31377,cs5,C5,10.0.6.5,10.0.9.1,1000,4799,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
31842,cs5,C5,10.0.2.5,10.0.9.1,1000,3784,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
55994,cs5,C5,10.0.6.5,10.0.9.1,1000,4825,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
35961,cs5,C5,10.0.2.5,10.0.9.1,1000,3823,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
35495,cs5,C5,10.0.6.5,10.0.9.1,1000,4852,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
7274,cs5,C5,10.0.2.5,10.0.9.1,1000,3862,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
47800,cs5,C5,10.0.6.5,10.0.9.1,1000,4895,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
56414,cs5,C5,10.0.2.5,10.0.9.1,1000,3930,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
39741,cs5,C5,10.0.9.1,10.0.10.4,45342,41359,0,1,0.0,0.0,0.0,46,17,14,1,45.999954000046,5,1
47745,cs5,C5,10.0.6.5,10.0.9.1,1000,4931,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,46,10
56331,cs5,C5,10.0.2.5,10.0.9.1,1000,3990,1,0,0.0,0.0,0.0,42,17,1,14,41.99995800004201,39,10
