flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp
35406,s6,C3,10.0.6.4,10.0.9.1,56622,5029,71,39,14.132778850674653,7.763075706708611,5.023782,107196,6,1,3,974.5090820499174,1,4
35406,cs3,C3,10.0.6.4,10.0.9.1,56622,5029,79,47,15.759010812875712,9.375614027913398,5.013005,121276,6,1,3,962.5079288689847,1,4
1028,cs3,C3,10.0.6.3,10.0.9.1,59934,5028,8,11,1.4130775380373979,1.942981614801422,5.661402,1488,6,1,3,78.31578535180077,1,4
1028,s6,C3,10.0.6.3,10.0.9.1,59934,5028,7,11,1.3630995325542248,2.142013551156639,5.135355,1414,6,1,3,78.55555119135826,1,4
35406,s6,C3,10.0.6.4,10.0.9.1,56622,5029,0,1,0.0,0.0,0.0,66,6,1,3,65.999934000066,1,4
1028,s6,C3,10.0.6.3,10.0.9.1,59934,5028,0,1,0.0,0.0,0.0,67,6,1,3,66.999933000067,1,4
35406,cs3,C3,10.0.6.4,10.0.9.1,56622,5029,1,0,0.0,0.0,0.0,1514,6,1,3,1513.998486001514,1,4
1028,cs3,C3,10.0.6.3,10.0.9.1,59934,5028,0,1,0.0,0.0,0.0,67,6,1,3,66.999933000067,1,4
37381,s6,C3,10.0.6.3,10.0.9.1,49570,5028,32,13,6.382925673822525,2.5930635549904006,5.013375,42143,6,1,3,936.5110902997536,1,4
37381,cs3,C3,10.0.6.3,10.0.9.1,49570,5028,32,13,6.392285789509221,2.596866101988121,5.006034,42143,6,1,3,936.5110902997536,1,4
37381,s6,C3,10.0.6.3,10.0.9.1,49570,5028,1,0,0.0,0.0,0.0,1514,6,1,3,1513.998486001514,1,4
37381,cs3,C3,10.0.6.3,10.0.9.1,49570,5028,1,0,0.0,0.0,0.0,1514,6,1,3,1513.998486001514,1,4
47863,s5,C3,10.0.5.2,10.0.9.1,48426,8080,3,3,0.30716382838756906,0.30716382838756906,9.766775,1003,6,1,3,167.16663880556018,1,4
47863,cs3,C3,10.0.5.2,10.0.9.1,48426,8080,3,3,0.30704863926789777,0.30704863926789777,9.770439,1003,6,1,3,167.16663880556018,1,4
35406,s6,C3,10.0.6.4,10.0.9.1,56622,5029,127,63,25.333474296497396,12.566999060467213,5.01313,195044,6,1,4,1026.5473630181718,1,6
35406,cs3,C3,10.0.6.4,10.0.9.1,56622,5029,123,58,24.502011555387693,11.55379406676818,5.019996,188658,6,1,4,1042.309386506578,1,6
35406,s6,C3,10.0.6.4,10.0.9.1,56622,5029,1,0,0.0,0.0,0.0,1514,6,1,4,1513.998486001514,1,6
54691,cs3,C3,10.0.6.4,10.0.9.1,39234,5029,3,1,0.29933302615113005,0.09977767538371002,10.022282,266,6,1,4,66.49998337500415,1,6
54691,s6,C3,10.0.6.4,10.0.9.1,39234,5029,3,1,0.2999478390707856,0.0999826130235952,10.001739,266,6,1,4,66.49998337500415,1,6
34595,s5,C3,10.0.5.3,10.0.9.1,56638,8080,6,4,0.5797295252575594,0.38648635017170624,10.349654,2409,6,1,4,240.89997591000244,1,6
34595,cs3,C3,10.0.5.3,10.0.9.1,56638,8080,6,4,0.5786593889318276,0.3857729259545517,10.368794,2409,6,1,4,240.89997591000244,1,6
1028,cs3,C3,10.0.6.3,10.0.9.1,59934,5028,3,2,0.45047507100988704,0.3003167140065914,6.659636,333,6,1,4,66.59998668000266,1,6
1028,s6,C3,10.0.6.3,10.0.9.1,59934,5028,3,2,0.4509256827879112,0.30061712185860745,6.652981,333,6,1,4,66.59998668000266,1,6
30856,s6,C3,10.0.6.1,10.0.9.1,42708,5026,1,0,0.0,0.0,0.0,74,6,1,4,73.99992600007401,1,6
1028,s6,C3,10.0.6.3,10.0.9.1,59934,5028,1,0,0.0,0.0,0.0,66,6,1,4,65.999934000066,1,6
30856,cs3,C3,10.0.6.1,10.0.9.1,42708,5026,1,0,0.0,0.0,0.0,74,6,1,4,73.99992600007401,1,6
1028,cs3,C3,10.0.6.3,10.0.9.1,59934,5028,1,0,0.0,0.0,0.0,66,6,1,4,65.999934000066,1,6
37381,s6,C3,10.0.6.3,10.0.9.1,49570,5028,44,29,8.72710943656393,5.751958492280773,5.041761,68802,6,1,4,942.4931377740667,1,6
